HR,Irradiance,Temperature,Humidity,POWER
15,385.35,34.36,34.54,7.5533442
16,207.82,33.65,35.45,4.08623935
17,58.78,32.28,43.48,1.24426328
18,0,30.84,48.09,0
19,0,29.74,51.78,0
20,0,28.8,55.32,0
21,0,27.98,57.95,0
22,0,27.3,60.47,0
23,0,26.72,61.89,0
0,0,25.99,65.04,0
1,0,25.14,69.15,0
2,0,24.35,72.76,0
3,0,23.73,76.52,0
4,0,23.26,80.32,0
5,0,23.02,82.96,0
6,8.75,23.06,83.03,0.18361125
7,105.97,24.78,71.75,1.64905897
8,259.52,27.98,50.5,4.32081632
9,442.5,31.18,32.95,7.9580925
10,623.8,33.68,23.13,11.8935628
11,708.8,35.52,18.27,14.0974592
12,791.78,36.7,16.32,16.1654217
13,782.58,37.22,16.22,16.17210742
14,661.1,37.11,17.39,13.65916445
15,476.58,36.48,19.45,9.76071228
16,261.95,35.23,22.81,5.295136825
17,82.47,31.72,39.88,1.65643928
18,0,29.34,47.85,0
19,0,28.59,51.29,0
20,0,27.58,55.77,0
21,0,26.64,59.85,0
22,0,26.02,63.55,0
23,0,25.35,69.09,0
0,0,24.54,76.56,0
1,0,23.82,83.73,0
2,0,23.34,89.07,0
3,0,23.1,91.8,0
4,0,22.84,93.63,0
5,0,22.56,94.78,0
6,10.82,22.8,92.59,0.2115882
7,113,24.4,82.74,1.73449
8,290.23,26.94,62.82,4.68682079
9,459.8,29.77,40.26,7.9739607
10,624.3,32.17,24.63,11.47880395
11,808.58,33.97,15.99,15.50253317
12,866.78,35.49,11.85,17.21333499
13,813.95,36.29,10.58,16.47452298
14,680.55,36.42,10.49,13.84559645
15,486.6,35.95,10.95,9.8467215
16,265,34.67,12.85,5.2881475
17,75.88,30.11,29.12,1.48268606
18,0,27.44,34.83,0
19,0,27.29,34.65,0
20,0,27.35,33,0
21,0,27.35,31.25,0
22,0,26.75,32.18,0
23,0,25.53,35.87,0
0,0,24.03,42.81,0
1,0,22.53,52.62,0
2,0,21.61,61.55,0
3,0,20.99,69.14,0
4,0,20.4,74.91,0
5,0,19.79,78.78,0
6,10.82,19.9,78.63,0.1974681
7,138.02,22.72,64.39,1.99869148
8,324.92,26.3,47.35,5.1438782
9,516.08,29.9,33.21,8.9691564
10,700.65,33.11,23.24,13.16677218
11,741.03,35.19,18.87,14.62344307
12,871.17,36.56,16.92,17.71937634
13,820.28,37.17,16.42,16.92646342
14,688.1,37.01,16.9,14.18033645
15,493.5,36.42,18.02,10.0885965
16,270.62,35.26,20.68,5.46875254
17,80.97,31.94,37.4,1.63741931
18,0,29.08,44,0
19,0,27.95,48.25,0
20,0,27.21,53.23,0
21,0,26.55,59.36,0
22,0,25.88,65.99,0
23,0,25.2,73.06,0
0,0,24.6,79.65,0
1,0,24.26,84.57,0
2,0,23.96,88.68,0
3,0,23.78,91.38,0
4,0,23.51,93.99,0
5,0,23.28,95.66,0
6,10.52,23.44,94.68,0.21041496
